OID_,Id,gridcode,Shape_Length,area,Shape_Area
1,154951,30,18.864778369438554,184,17.117382239529391
2,155019,30,16.624964496399407,159,14.758598211710169
3,155020,30,26.762597725614420,304,28.197014911096918
4,155075,30,28.369189083747806,363,33.746382493761779
5,155076,30,18.864778369438554,184,17.117382239529391
6,155144,30,18.864778369438554,184,17.117382239529391
7,155279,70,18.864778369438554,184,17.117382239529391
8,155280,30,18.748986062057647,172,16.009499998763204
9,155366,70,39.089016330448636,448,41.596402150595218
10,155367,30,18.748986063792756,172,16.009500001091510
11,155368,30,16.722660824035579,162,15.073766182234911
12,155369,30,12.630053897298609,64,5.982001192681891
13,155441,70,18.864778369625334,184,17.117305871475669
14,155542,70,18.864778369445261,184,17.117373882391202
15,155543,30,18.864778369438554,184,17.117382239529391
16,155612,30,18.864778369438554,184,17.117382239529391
17,155843,30,18.864778369438554,184,17.117382239529391
18,155844,40,15.805138347776236,131,12.138006461481526
19,156075,30,18.864778369438554,184,17.117382239529391
20,156261,70,208.484146647974171,8870,824.026239731814144
21,158111,70,1.835944627707252,1,0.099732874636339
22,158336,30,15.940891498590890,98,9.106895280569800
23,158423,30,18.705875956570175,184,17.105462140546418
24,158665,30,26.004670743546434,340,31.558030196400185
25,158822,30,18.864778369438554,184,17.117382239529391
26,158904,30,18.864778369438554,184,17.117382239529391
27,158905,30,18.864778369438554,184,17.117382239529391
28,159140,30,28.369189088789533,363,33.746101681138789
29,159428,30,18.864778369438554,184,17.117382239529391
30,159749,30,16.101161228186040,147,13.640546924901809
31,159750,70,748.522090605921449,46954,4362.158156656896608
32,160068,30,18.864778369798159,184,17.117399070419602
33,160213,30,18.864778369438554,184,17.117382239529391
34,160296,30,18.864778369438554,184,17.117382239529391
35,160381,70,28.369189083747806,363,33.746382493761779
36,160628,30,18.864778369438554,184,17.117382239529391
37,161162,30,49.965203395938417,1063,98.728359104654459
38,161425,70,44.065549241596713,972,90.325072201680726
39,161675,30,28.295437062885888,367,34.138494269237619
40,161676,70,10.706726008729895,43,3.960080671303820
41,161756,70,249.118202879962354,13238,1229.843624327547786
42,161757,70,93.201406992756461,4567,424.266964379803994
43,161842,70,18.864778369438554,184,17.117382239529391
44,161910,70,38.266681496386838,839,77.962999995797873
45,162054,30,28.295437062942735,367,34.138486597112745
46,162302,70,29.691653726577524,271,25.206388733403532
47,162303,20,18.864778369438554,184,17.117382239529391
48,162462,30,18.864778369438554,184,17.117382239529391
49,162463,20,18.864778369438554,184,17.117382239529391
50,162639,30,18.864778369438554,184,17.117382239529391
51,162786,30,18.864778369438554,184,17.117382239529391
52,162875,30,13.205614357695870,41,3.806031421283484
53,163112,30,9.688637612792153,57,5.330813255879817
54,163412,30,14.774877708997813,102,9.485358448350883
55,163737,70,391.439247552545396,20679,1921.164508576832986
56,163820,30,18.864778369438554,184,17.117382239529391
57,163888,40,18.293687153580517,156,14.453602757546461
58,163962,70,63.327089453705298,1433,133.105249996297061
59,164030,70,20.000000000000000,269,25.000000000000000
