"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1044",-2255.23432397717
"1045",-1959.81289851674
"1046",-169.773374449415
"1047",-319.45316914878
"1048",-214.481673026325
"1049",-5724.921960903
"1050",-6932.44620003712
"1051",-682.857110726436
"1052",-632.354061750143
"1053",-780.153817622326
"1054",-498.226035648601
"1055",-135.326211686516
"1056",-556.863939018192
"1057",-322.756970704769
"1058",-67747.6824116951
"1059",-298.435437453315
"1060",-162.102189318903
"1061",-996.75465856083
"1062",-112.639719519089
"1063",-114.629601802592
"1064",-110.923459661537
"1065",-113.620308672654
"1066",-113.648994433354
"1067",-112.408540214159
"1068",-113.648989346048
"1069",-113.648958825266
"1070",-59.5431957045605
"1071",-113.648950058596
"1072",-112.146067584174
"1073",-114.629569551196
"1074",-113.620246749661
"1075",-113.620241589454
"1076",-21675.9658658354
"1077",-111.399049678489
"1078",-113.620205466818
"1079",-114.629546329189
"1080",-111.662070919389
"1081",-113.648883409738
"1082",-111.185890075185
"1083",-99.1251258923444
"1084",-102.712140431201
"1085",-113.620184824003
"1086",-2741.58800861373
"1087",-53017.8671903052
"1088",-17395.5869834846
"1089",-3960.71541518622
"1090",-114.629557940422
"1091",-113.6489139344
"1092",-110.249829601697
"1093",-110.249829601697
"1094",-114.629552778281
"1095",-113.648903755001
"1096",-111.399049678489
"1097",-4191.59820245101
"1098",-114.629536007111
"1099",-6562.17130845854
"1100",-46295.3632410449
"1101",-80672.4629428742
"1102",-20973.0907666106
"1103",-114.629532136571
"1104",-113.620179663622
"1105",-114.629534718576
"1106",-43576.5021791233
"1107",-1205.83705214745
"1108",-13121.0542067365
"1109",-15972.7425754535
"1110",-13820.2490775372
"1111",-2354.45176341209
"1112",-5559.75873429264
"1113",-2766.15925501993
"1114",-597.959304933647
"1115",-34175.662877931
"1116",-32841.1251691403
"1117",-19301.2576834335
"1118",-3600.47038096664
"1119",-96.6689369369547
"1120",-113.939701514896
"1121",-113.968383299417
"1122",-99.152896525537
"1123",-4334.53621323965
"1124",-623.60876514834
"1125",-576.092606412525
"1126",-336.078944056854
"1127",-108800.379596201
"1128",-30091.0463842779
"1129",-2256.24355087748
"1130",-1965.83234296118
"1131",-170.573374449415
"1132",-320.383724704335
"1133",-215.228895248547
"1134",-5740.921960903
"1135",-6951.73508892601
"1136",-684.378555363218
"1137",-634.470728416809
"1138",-781.160242144496
"1139",-499.61492453749
"1140",-136.126211686516
"1141",-558.411161240414
"1142",-323.656970704769
"1143",-67748.6773169587
"1144",-299.535437453315
"1145",-165.513300430014
"1146",-997.259273724859
"1147",-112.959163963534
"1148",-114.949046247036
"1149",-111.242904105981
"1150",-113.939753117099
"1151",-113.968438877799
"1152",-112.727984658604
"1153",-113.968433790493
"1154",-113.968403269711
"1155",-59.8626401490049
"1156",-113.968394503041
"1157",-112.465512028618
"1158",-114.94901399564
"1159",-113.939691194105
"1160",-113.939686033898
"1161",-21690.0440440288
"1162",-111.718494122933
"1163",-113.939649911262
"1164",-114.948990773633
"1165",-111.981515363834
"1166",-113.968327854183
"1167",-111.505334519629
"1168",-99.4445703367889
"1169",-103.031584875646
"1170",-113.939629268448
"1171",-2742.09261541798
"1172",-53081.541928486
"1173",-17444.2425390402
"1174",-3971.793192964
"1175",-114.949002384866
"1176",-113.968358378845
"1177",-110.569274046142
"1178",-110.569274046142
"1179",-114.948997222725
"1180",-113.968348199446
"1181",-111.718494122933
"1182",-4192.60743455884
"1183",-114.948980451555
"1184",-6562.67593200705
"1185",-46344.4385649669
"1186",-80672.9675825482
"1187",-20973.5953833053
"1188",-114.948976581016
"1189",-113.939624108067
"1190",-114.948979163021
"1191",-43576.5021791233
"1192",-1205.83705214745
"1193",-13121.0542067365
"1194",-15972.7425754535
"1195",-13820.2490775372
"1196",-2354.45176341209
"1197",-5575.5504009593
"1198",-2766.15925501993
"1199",-600.303749378092
"1200",-34175.662877931
"1201",-32932.5057246958
"1202",-19301.2576834335
"1203",-3600.47038096664
"1204",-96.9883813813991
"1205",-114.25914595934
"1206",-114.287827743861
"1207",-99.4723409699814
"1208",-4334.53621323965
"1209",-625.347654037229
"1210",-576.092606412525
"1211",-337.037277390187
"1212",-108800.379596201
"1213",-30091.0463842779
"1214",-2256.24355087748
"1215",-1971.85178740563
"1216",-171.373374449415
"1217",-321.314280259891
"1218",-215.976117470769
"1219",-5756.921960903
"1220",-6951.73508892601
"1221",-684.378555363218
"1222",-636.587395083476
"1223",-781.160242144496
"1224",-501.003813426379
"1225",-136.926211686516
"1226",-558.411161240414
"1227",-324.556970704769
"1228",-67748.6773169587
"1229",-300.635437453315
"1230",-168.924411541125
"1231",-997.259273724859
"1232",-113.278608407978
"1233",-115.268490691481
"1234",-111.562348550426
"1235",-114.259197561543
"1236",-114.287883322243
"1237",-113.047429103048
"1238",-114.287878234937
"1239",-114.287847714155
"1240",-60.1820845934494
"1241",-114.287838947485
"1242",-112.784956473063
"1243",-115.268458440084
"1244",-114.259135638549
"1245",-114.259130478342
"1246",-21690.0440440288
"1247",-112.037938567378
"1248",-114.259094355707
"1249",-115.268435218078
"1250",-112.300959808278
"1251",-114.287772298627
"1252",-111.824778964073
"1253",-99.7640147812333
"1254",-103.35102932009
"1255",-114.259073712892
"1256",-2742.09261541798
"1257",-53081.541928486
"1258",-17492.8980945957
"1259",-3982.87097074177
"1260",-115.268446829311
"1261",-114.287802823289
"1262",-110.888718490586
"1263",-110.888718490586
"1264",-115.26844166717
"1265",-114.28779264389
"1266",-112.037938567378
"1267",-4192.60743455884
"1268",-115.268424896
"1269",-6562.67593200705
"1270",-46344.4385649669
"1271",-80672.9675825482
"1272",-20973.5953833053
"1273",-115.26842102546
"1274",-114.259068552511
"1275",-115.268423607465
"1276",-43567
"1277",-1203
"1278",-13094
"1279",-15929
"1280",-13793
"1281",-2352
"1282",-5591.34206762597
"1283",-2759
