"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1",-42674.8618774306
"2",-1198.9630838463
"3",-13019.455876114
"4",-15924.9628258499
"5",-13704.4815091868
"6",-2319.34744063004
"7",-4994.53493717055
"8",-2754.96292904831
"9",168.296113598744
"10",-34073.92524567
"11",-31576.9340098945
"12",-19218.2392452462
"13",-3586.96304773316
"14",-37.8424144144853
"15",-106.925472726251
"16",-107.040199864333
"17",-47.7782527688146
"18",-4225.04485295862
"19",-595.568393926695
"20",-570.963073522424
"21",-297.815776227415
"22",-108491.925658494
"23",-29633.3488520014
"24",-2242.92618479758
"25",-1290.0960385114
"26",191.30650220234
"27",-265.368232150674
"28",-44.9489143275221
"29",-5491.68784361199
"30",-6743.47368903736
"31",-671.828442905744
"32",-226.482913667237
"33",-771.948603822639
"34",-481.793031483293
"35",329.095153253935
"36",-544.077978294988
"37",-311.827882819076
"38",-67554.0407578915
"39",3.05825018674136
"40",3062.88013161328
"41",-990.963078687762
"42",-103.003322520802
"43",-110.962851654813
"44",-96.1382830905914
"45",-106.925679135062
"46",-107.040422177861
"47",-102.078605301082
"48",-107.040401828637
"49",-107.040279745509
"50",109.382772737314
"51",-107.04024467883
"52",-101.02871478114
"53",-110.962722649227
"54",-106.925431443087
"55",-106.925410802259
"56",-21531.3745744525
"57",-98.0406431583998
"58",-106.925266311715
"59",-110.962629761199
"60",-99.0927281220009
"61",-107.039978083397
"62",-97.1880047451829
"63",-48.9449480138222
"64",-63.2930061692496
"65",-106.925183740457
"66",-2730.96314556604
"67",-52488.6020945543
"68",-16645.103489494
"69",-3790.23943852266
"70",-110.962676206132
"71",-107.040100182046
"72",-93.4437628512333
"73",-93.4437628512333
"74",-110.962655557568
"75",-107.04005946445
"76",-98.0406431583998
"77",-4173.92614313737
"78",-110.962588472888
"79",-6540.96301161195
"80",-45872.397408624
"81",-80445.9628826081
"82",-20911.9630664426
"83",-110.96257299073
"84",-106.925163098934
"85",-110.96258331875
"86",-42349.8122605903
"87",-1200.28629243611
"88",-13018.5560363932
"89",-15967.191460997
"90",-13698.5361526691
"91",-2309.55449427839
