"","total_storage","year","Site"
"1",0,2006,"CB"
"2",0,2007,"CB"
"3",0,2008,"CB"
"4",0,2009,"CB"
"5",0,2010,"CB"
"6",0,2011,"CB"
"7",0,2012,"CB"
"8",0,2013,"CB"
"9",0,2014,"CB"
"10",0,2015,"CB"
"11",0,2016,"CB"
"12",0,2017,"CB"
"13",0,2018,"CB"
"14",0,2019,"CB"
"15",0,2020,"CB"
