"","total_storage","year","Site"
"1",0,2006,"TR109"
"2",0,2007,"TR109"
"3",0,2008,"TR109"
"4",0,2009,"TR109"
"5",0,2010,"TR109"
"6",0,2011,"TR109"
"7",0,2012,"TR109"
"8",0,2013,"TR109"
"9",450320,2014,"TR109"
"10",3102980,2015,"TR109"
"11",4593870,2016,"TR109"
"12",4593870,2017,"TR109"
"13",5981150,2018,"TR109"
"14",6356810,2019,"TR109"
"15",6356810,2020,"TR109"
