"","total_storage","year","Site"
"1",0,2006,"SB"
"2",0,2007,"SB"
"3",0,2008,"SB"
"4",0,2009,"SB"
"5",0,2010,"SB"
"6",0,2011,"SB"
"7",0,2012,"SB"
"8",0,2013,"SB"
"9",0,2014,"SB"
"10",0,2015,"SB"
"11",0,2016,"SB"
"12",0,2017,"SB"
"13",0,2018,"SB"
"14",0,2019,"SB"
"15",0,2020,"SB"
