"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"1","268302.05",20684,"DS","ODSW","Dry Swale","AG","Greenway Village at Clarksburg","Peppervine Drive","SWM-MCG-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1244165.32632,569456.184502,41,"PM","03/23/2016 12:00:00 AM +0000",100010786,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","ROW","Dry Swale",0,21727.5109844357,0,0,"2011","tr109",0
"2","268302.08",21423,"FSU","OTH","1242","UG","Greenway Village at Clarksburg","Peppervine Drive","SWM-MCG-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"Changed from FS to FSU by Rick 9/2017",1244364.42861,569454.97978,41,"RW","09/13/2017 12:00:00 AM +0000",100009991,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","ROW","Flow splitter underground",0,2980.39136476815,0,0,"2011","tr109",0
"3","268302",21424,"DW","MIDW","lot 16 W","ESD","Greenway Village at Clarksburg","Peppervine Drive","SWM-SFR",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243484.87427,569128.1763,41,"PM","03/23/2016 12:00:00 AM +0000",100009992,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694513","Dry Well",1467.47737286253,2324.8960026484,355.413364581997,0,"2011","tr109",0
"4","268302.02",21425,"DW","MIDW","lot 16 E","ESD","Greenway Village at Clarksburg","Peppervine Drive","SWM-SFR",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243521.76658,569159.209374,41,"PM","03/23/2016 12:00:00 AM +0000",100009995,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694513","Dry Well",0,605.63482110016,0,0,"2011","tr109",0
"5","268302.06",20225,"SF","FSND","#11C","AG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"Point moved to center of SF #11C on plan",1243811.78897,569609.103816,41,"KR","10/25/2016 12:00:00 AM +0000",100010407,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694320","Sand filter",9.51791491080076,1030.71101368172,153.80471663177,0,"2011","tr109",0
"6","268302.11",21427,"FSU","OTH","1204","UG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"Changed from FS to FSU by Rick 9/2017",1243888.82129,569552.692839,41,"RW","09/13/2017 12:00:00 AM +0000",100010001,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694320","Flow splitter underground",0,3234.68287837319,0,17.0537317069247,"2011","tr109",0
"7","268302.10",21426,"AQSW","XOGS","PT-37","UG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243858.13828,569541.577048,41,"PM","03/23/2016 12:00:00 AM +0000",100009998,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694320","Aquaswirl",0,1764.39836520143,61.5237734522671,0,"2011","tr109",0
"8","268302.03",20505,"DW","MIDW","lot 15 W","ESD","Greenway Village at Clarksburg","Peppervine Drive","SWM-SFR",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243562.34819,569168.323857,41,"PM","03/23/2016 12:00:00 AM +0000",100009937,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694502","Dry Well",637.0252270618,1816.29406166074,527.117791849189,0,"2011","tr109",0
"9","268302.04",20297,"DW","MIDW","lot 15 E","ESD","Greenway Village at Clarksburg","Peppervine Drive","SWM-SFR",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1243653.05995,569184.166017,41,"PM","03/23/2016 12:00:00 AM +0000",100011124,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694502","Dry Well",1513.33478440717,4206.87051602453,1773.07670462504,745.542752589099,"2011","tr109",0
"10","268302.07",21422,"BR","FBIO","# 11 M","AG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1244323.31714,569385.704984,41,"PM","03/23/2016 12:00:00 AM +0000",100009988,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694524","Bioretention, quality control",32602.0122697704,260125.873197709,141182.961701774,16509.4365141993,"2011","tr109",0
"11","268302.09",21060,"AQSW","XOGS","PT-36","UG","Greenway Village at Clarksburg","Peppervine Drive","SWM-RESID-DEP",231050,"05/06/2011 12:00:00 AM +0000","11/12/2014 12:00:00 AM +0000",NA,NA,"<Null>",1244368.45649,569428.24755,41,"PM","03/23/2016 12:00:00 AM +0000",100011002,"201363","Peppervine Drive",NA,NA,"24561/266","24561/275","I","INSP-REG03","03694524","Aquaswirl",0,605.628630115651,0,0,"2011","tr109",0
"12","242572.05",15521,"FSU","OTH","782","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244783.66596,570886.541877,21,"KR","10/25/2016 12:00:00 AM +0000",100005254,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Flow splitter underground",5197.41836357256,0,19394.6877154652,3342.70133351348,"2011","tr109",0
"13","242572.10",15257,"AQSW","XOGS","PT19","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244558.99121,571228.003793,21,"KR","10/25/2016 12:00:00 AM +0000",100005255,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03581854","Aquaswirl",0,0,2.97046110697556,602.617687044665,"2011","tr109",0
"14","242572.11",15669,"UG","OTH","UG11K","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244594.58137,571203.003843,21,"KR","10/25/2016 12:00:00 AM +0000",100005256,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03581854","Underground detention",0,0,1313.76734980196,485.785043664277,"2011","tr109",0
"15","242572.12",15640,"STFIL","FUND","11K","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244574.44263,571206.996945,21,"KR","10/25/2016 12:00:00 AM +0000",100005257,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03581854","Stormfilter",0,0,3960.83483254537,4711.29098699242,"2011","tr109",0
"16","242572.08",15667,"UG","OTH","UG11H","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244266.31234,570989.773954,21,"KR","10/25/2016 12:00:00 AM +0000",100005248,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574767","Underground detention",0,0,605.593824167736,0,"2011","tr109",0
"17","242572.09",15520,"FSU","OTH","773","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244272.56232,570906.961456,21,"KR","10/25/2016 12:00:00 AM +0000",100005249,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574756","Flow splitter underground",367.348713088781,0,27573.8220956027,76076.2109543546,"2011","tr109",0
"18","242572.06",15638,"STFIL","FUND","11H","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244242.18017,570946.89215,21,"KR","10/25/2016 12:00:00 AM +0000",100005250,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574767","Stormfilter",0,0,605.594596955925,0,"2011","tr109",0
"19","242572.15",15256,"AQSW","XOGS","PT20","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244782.27718,570871.958573,21,"KR","10/25/2016 12:00:00 AM +0000",100005251,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Aquaswirl",5197.41836357256,0,19394.6877154652,3342.70133351348,"2011","tr109",0
"20","242572.16",15668,"UG","OTH","UG11J","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244814.56879,570839.840527,21,"KR","10/25/2016 12:00:00 AM +0000",100005252,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Underground detention",1036.76131763984,0,5638.31598953716,798.383569108322,"2011","tr109",0
"21","242572.14",15639,"STFIL","FUND","11J","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244770.64532,570820.743453,21,"KR","10/25/2016 12:00:00 AM +0000",100005253,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Stormfilter",73.6457687253132,0,531.951410317793,0,"2011","tr109",0
