"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"277",-108793.314547383
"278",-29563.1188243357
"279",-2249.17896257536
"280",-650.476400728275
"281",548.386378854094
"282",-215.936072930346
"283",120.84773326017
"284",-5338.45372632097
"285",-6650.94562248205
"286",-668.399775085052
"287",168.804901082336
"288",-772.410056689618
"289",-472.304471762429
"290",789.516518194387
"291",-539.028128682897
"292",-305.398794933384
"293",-67741.7129801137
"294",299.051937826797
"295",6270.8068969899
"296",-993.463165481362
"297",-94.9641477447376
"298",-108.893323729256
"299",-82.9503287418683
"300",-101.828271819691
"301",-102.02907214459
"302",-93.345892610227
"303",-102.029036533448
"304",-102.028822887974
"305",276.711518956966
"306",-102.028761521286
"307",-91.5085842003285
"308",-108.89309796948
"309",-101.827838358735
"310",-101.827802237286
"311",-21627.2721719586
"312",-86.279458860533
"313",-101.827549378835
"314",-108.892935415432
"315",-88.1206075468349
"316",-102.028294979278
"317",-84.7873416374034
"318",-0.361992357522227
"319",-25.4710941295201
"320",-101.827404879133
"321",-2738.56036778826
"322",-52548.20366547
"323",-16137.8977732812
"324",-3675.15235074798
"325",-108.893016694064
"326",-102.028508651915
"327",-78.2349183229916
"328",-78.2349183229916
"329",-108.892980559077
"330",-102.02843739612
"331",-86.279458860533
"332",-4185.54280980403
"333",-108.892863160887
"334",-6559.1435671675
"335",-45963.4871317587
"336",-80669.4351048303
"337",-20970.0630664426
"338",-108.892836067112
"339",-101.827368756467
"340",-108.892854141146
"341",-42155.2842673177
"342",-1204.13257362199
"343",-13081.0826256311
"344",-15967.6961077658
"345",-13758.1537625776
"346",-2308.74664467216
"347",-4280.92840815408
"348",-2761.11291633032
"349",1297.75146361955
"350",-34165.5694350185
"351",-30457.381993248
"352",-19259.0567399913
"353",-3595.42419063309
"354",47.682091591441
"355",-99.1194073210605
"356",-99.3632024894851
"357",26.5684350884913
"358",-4162.8786458704
"359",-568.288392649783
"360",-572.810420124039
"361",-248.566857816589
"362",-108790.286669319
"363",-29486.252421614
"364",-2252.40405965223
"365",-327.656859614493
"366",727.326317179972
"367",-190.754715542404
"368",204.119668165127
"369",-5253.83666767547
"370",-6595.03714475995
"371",-665.735441174706
"372",367.507141790455
"373",-771.557449789774
"374",-466.865747457552
"375",1020.12720066461
"376",-535.729592765739
"377",-301.734250990537
