"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"272",-10.8026091035818
"273",-16.5425106295778
"274",-16.5425112062092
"275",-11.7574384278817
"276",-11.5195018592932
"277",-1.55036371018324
"278",-16.0521269436015
"279",11.1398309805534
"280",232.156475330614
"281",-3648.74204303231
"282",107.150084048666
"283",-889.771749536237
"284",-962.161965579567
"285",-601.430205636999
"286",-10445.5560820237
"287",-8391.7425046021
"288",-17460.6256244225
"289",-1201.34474282036
"290",-1202.82861571292
"291",-295.339311494765
"292",-3005.41552076024
"293",-962.161952918665
"294",-16.0521276751678
"295",-12.3518669026399
"296",-16.037783961056
"297",-11.6033338905209
"298",-11.3621279780712
"299",4.0629341624315
"300",-10.7929349368676
"301",-13.2692988363239
"302",-11.5785690441904
"303",-11.1251609515156
"304",-8.66596050525882
"305",-42032.9780782814
"306",-9873.03044915072
"307",-8371.12785312801
"308",-9315.49002286241
"309",-5044.59899103714
"310",-13805.9380902494
"311",-13.0997524541513
"312",-13.3788562726809
"313",-9.79272111050371
"314",-13.816834409223
"315",-15.5474562546275
"316",-15.5474562546275
"317",-12.5797861325172
"318",-14.9932128189835
"319",-15.0650158796294
"320",237.164878831162
"321",-12.3520289438153
"322",226.744164707715
"323",-16.0406911377319
"324",-13.8168344089404
"325",-297.840111037111
"326",-780.645020093732
"327",-720.990587544112
"328",-328.432905604048
"329",-479.586744465654
"330",-145.719774610415
"331",-776.324441026573
"332",-961.660147161142
"333",-407.220301482032
"334",-701.439737146768
"335",-841.323918295469
"336",-15.5255834297049
"337",-16.5425220220898
"338",-10.5449731208777
"339",-1.04248746666643
"340",-9.54871786819357
"341",-10.3872764537939
"342",-16.5425246013939
"343",-12.991737644097
"344",-14.5588780771651
"345",-16.0378123476035
"346",0.890463584827055
"347",-95.4141716714173
"348",-99.7627981548633
"349",-13866.6197953072
"350",-97.1569970571457
"351",-88.389768291241
"352",-7170.06063830571
"353",-4025.15907934421
"354",-3425.48234362638
"355",-4720.65534298397
"356",-763.064536204388
"357",-652.990275812149
"358",-406.878874126772
"359",-358.977848607435
"360",-11063.6340483445
"361",-900.481270566216
"362",-675.865631372717
"363",-500.37955638548
"364",-18071.0721558889
"365",-3343.50062575063
"366",-10017.9418829665
"367",-7725.43174102313
"368",-429.886647066416
"369",-10092.951779897
"370",-807.720417136625
"371",-801.12911020382
"372",-9921.47598717579
"373",-8524.95877354771
"374",-378.902165896201
"375",-585.615630562603
"376",-180212.036589453
"377",-7161.80420146764
"378",-635.814717914857
"379",-637.760137235626
"380",-1915.29899179993
"381",-2264.18104815495
"382",-1321.60360738301
"383",-745.05731787165
"384",-1559.78636901734
"385",-1764.90442652742
"386",-846.337864396518
"387",-1976.95228157611
"388",-1447.58630460524
"389",-1517.18962195874
"390",-1497.14064475428
"391",-1619.47953235307
"392",-1605.96536098143
"393",-1624.49342769448
"394",-886.448998250521
"395",-627.474414692447
"396",-2071.30867648173
"397",-1463.88745940636
"398",-1824.84393349898
"399",-1110.47553743419
"400",-1536.76745357738
"401",-1807.96538170047
"402",-1966.44066233745
"403",-1671.81018668153
"404",-49524.7635041784
"405",-14732.7978933662
"406",-3503.28044322314
"407",-14837.0933330246
"408",-14345.703861794
"409",-5583.45344376093
"410",-7436.49343181855
"411",-6425.00351294371
"412",-6713.67055628917
"413",-5508.59636298459
"414",-4509.01065712795
"415",-391.221563119065
"416",-796.198947934608
"417",-398.878663985401
"418",-601.964626163762
"419",-936.587821340786
"420",-297.642517170058
"421",-112.669446808021
"422",-1068.00481977571
"423",-486.333954484771
"424",-456.257252881775
"425",-144.26635829153
"426",-77.4399863207009
"427",-683.887801127554
"428",-458.056815121391
"429",-709.982063843989
"430",-840.314475619812
"431",-505.415364998345
"432",47.7659195075484
"433",72.2646494386149
"434",-8.87259872958789
"435",-14.1394785193333
"436",-10.2443118244203
"437",-15.1043545600068
"438",-16.0850422703206
"439",-9.75777726229694
"440",4.08031564234032
"441",-7.60613489420878
"442",-15.0756272761379
"443",-16.0850125935094
"444",-15.0813494452255
"445",-4.60521820716353
"446",-16.0850212591555
"447",-16.0850224124185
"448",-6.5148768557634
"449",-6.03900371858643
"450",13.8992725796335
"451",-15.104253887203
"452",39.2796619611068
"453",481.312950661228
"454",-3642.35908606462
"455",231.300168097332
"456",-879.543499072473
"457",-961.657264492468
"458",-482.860411273999
"459",-10443.1704973808
"460",-8391.23778698197
"461",-17458.8790266229
"462",-1199.35615230739
"463",-1202.32389809251
"464",-290.67862298953
"465",-3002.49770818715
"466",-961.657239170664
"467",-15.1042553503356
"468",-7.70373380527984
"469",-15.075567922112
"470",-6.20666778104173
"471",-5.72425595614231
"472",25.125868324863
"473",-4.58586987373522
"474",-9.5385976726479
"475",-6.15713808838071
"476",-5.25032190303111
"477",-0.331921010517632
"478",-42001.4339343405
"479",-9464.06089830144
"480",-8358.25570625602
"481",-9306.14949016927
"482",-5028.19798207427
"483",-13796.6067360544
"484",-9.19950490830259
"485",-9.75771254536178
"486",-2.58544222100741
"487",-10.633668818446
"488",-14.0949125092549
"489",-14.0949125092549
"490",-8.15957226503433
"491",-12.9864256379671
"492",-13.1300317592588
"493",491.329757662324
"494",-7.70405788763051
"495",470.488329415429
"496",-15.0813822754638
"497",-10.6336688178809
"498",-295.680222074222
"499",-779.123373520796
"500",-719.981175088224
"501",-326.865811208095
"502",-479.173488931308
"503",-141.43954922083
"504",-772.648882053147
"505",-960.653627655618
"506",-334.440602964063
"507",-700.935029849091
"508",-840.314503257604
"509",-14.0511668594099
"510",-16.0850440441796
"511",-4.08994624175545
"512",14.9150250666671
"513",-2.09743573638714
"514",-3.77455290758775
"515",-16.0850492027878
"516",-8.98347528819409
"517",-12.1177561543302
"518",-15.0756246952071
"519",18.7809271696541
"520",-95.6919494491951
"521",-99.7730820935261
"522",-13867.421638629
"523",-97.4347748349235
"524",-88.6675460690188
"525",-7191.94119386126
"526",-4026.65870633877
"527",-3425.98700514652
"528",-4726.88322704754
"529",-765.197869537721
"530",-655.090275812149
"531",-408.178874126772
"532",-359.977848607435
"533",-11064.6434130611
"534",-901.490635283108
"535",-676.370315686359
"536",-500.884222637184
"537",-18122.1721558889
"538",-3347.89336843087
"539",-10045.922438522
"540",-7746.93451880091
"541",-431.208869288638
"542",-10093.4564455041
"543",-809.970417136625
"544",-803.37911020382
"545",-9922.48243803234
"546",-8550.78377354771
"547",-380.382721451757
"548",-586.120315281302
"549",-180421.198850282
"550",-7163.32571184493
"551",-637.292081179651
"552",-638.264790840035
"553",-1915.80366256663
"554",-2270.48938148828
"555",-1327.12305182745
"556",-745.561992269158
"557",-1563.564017842
"558",-1765.89943548593
"559",-846.84254330937
"560",-1982.491170465
"561",-1450.80704119151
"562",-1518.19897764604
"563",-1497.64532237714
"564",-1619.98421062098
"565",-1607.71184715738
"566",-1624.99810273613
"567",-886.953665791927
"568",-629.324414692447
"569",-2077.15867648173
"570",-1468.21245940636
"571",-1830.0411557212
"572",-1113.5866485453
"573",-1539.01844901091
"574",-1810.49380196135
"575",-1966.94533116872
"576",-1676.23287111854
"577",-49527.984529867
"578",-14733.8072800164
"579",-3505.99994383379
"580",-14837.5980554012
"581",-14347.2255420081
"582",-5584.46283299158
"583",-7457.22676515188
"584",-6431.91981202741
"585",-6722.15750036681
"586",-5523.91025187348
"587",-4521.5551015724
"588",-392.316007563509
"589",-796.703640633971
