"","total_storage","year","Site"
"1",6273810,2006,"CR"
"2",6700160,2007,"CR"
"3",6700160,2008,"CR"
"4",6700160,2009,"CR"
"5",6700160,2010,"CR"
"6",6700160,2011,"CR"
"7",6700160,2012,"CR"
"8",6700160,2013,"CR"
"9",6700160,2014,"CR"
"10",6700160,2015,"CR"
"11",6700160,2016,"CR"
"12",6700160,2017,"CR"
"13",6700160,2018,"CR"
"14",6700160,2019,"CR"
"15",6700160,2020,"CR"
