"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"12","242572.05",15521,"FSU","OTH","782","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244783.66596,570886.541877,21,"KR","10/25/2016 12:00:00 AM +0000",100005254,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Flow splitter underground",17318.05766505,54.21682359837,77.3708255904494,10485.1620983477,"2019","tr109",0
"13","242572.10",15257,"AQSW","XOGS","PT19","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244558.99121,571228.003793,21,"KR","10/25/2016 12:00:00 AM +0000",100005255,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03581854","Aquaswirl",0,0,0,605.588148158044,"2019","tr109",0
"14","242572.11",15669,"UG","OTH","UG11K","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244594.58137,571203.003843,21,"KR","10/25/2016 12:00:00 AM +0000",100005256,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03581854","Underground detention",620.185847736895,0,0,1179.3665457312,"2019","tr109",0
"15","242572.12",15640,"STFIL","FUND","11K","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244574.44263,571206.996945,21,"KR","10/25/2016 12:00:00 AM +0000",100005257,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03581854","Stormfilter",523.335858849809,0,0,8148.78996068239,"2019","tr109",0
"16","242572.08",15667,"UG","OTH","UG11H","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244266.31234,570989.773954,21,"KR","10/25/2016 12:00:00 AM +0000",100005248,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574767","Underground detention",0,0,0,605.593824167736,"2019","tr109",0
"17","242572.09",15520,"FSU","OTH","773","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244272.56232,570906.961456,21,"KR","10/25/2016 12:00:00 AM +0000",100005249,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574756","Flow splitter underground",3468.21171246376,0,324.986033676192,100224.184017027,"2019","tr109",0
"18","242572.06",15638,"STFIL","FUND","11H","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244242.18017,570946.89215,21,"KR","10/25/2016 12:00:00 AM +0000",100005250,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03574767","Stormfilter",0,0,0,605.594596955925,"2019","tr109",0
"19","242572.15",15256,"AQSW","XOGS","PT20","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244782.27718,570871.958573,21,"KR","10/25/2016 12:00:00 AM +0000",100005251,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Aquaswirl",17318.05766505,54.21682359837,77.3708255904494,10485.1620983477,"2019","tr109",0
"20","242572.16",15668,"UG","OTH","UG11J","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244814.56879,570839.840527,21,"KR","10/25/2016 12:00:00 AM +0000",100005252,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Underground detention",6184.21901273634,0,0,1289.2418635363,"2019","tr109",0
"21","242572.14",15639,"STFIL","FUND","11J","UG","Greenway Village at Clarksburg","Little Seneca Pkwy","SWM-RESID-DEP",217615,"01/20/2006 12:00:00 AM +0000","01/21/2014 12:00:00 AM +0000",NA,NA,"Updated SEDCONPMT and SW_FILE numbers per Hansen",1244770.64532,570820.743453,21,"KR","10/25/2016 12:00:00 AM +0000",100005253,"201363","Little Seneca Pkwy","1241180","571311",NA,NA,"I","INSP-REG03","03582255","Stormfilter",122.770213327836,0,0,482.82696571108,"2019","tr109",0
