"","stores_remain"
"1",100
"2",100
"3",13830
"4",100
"5",100
"6",7877
"7",4017
"8",3417
"9",4720
"10",768
"11",756
"12",468
"13",360
"14",11035
"15",900
"16",675
"17",500
"18",18396
"19",3343
"20",10073
"21",7741
"22",476
"23",10066
"24",810
"25",810
"26",9896
"27",9297
"28",533
"29",585
"30",180130
"31",7145
"32",637
"33",637
"34",1911
"35",2271
"36",1987
"37",744
"38",1563
"39",1762
"40",845
"41",1994
"42",1450
"43",1515
"44",1494
"45",1616
"46",1605
"47",1621
"48",885
"49",666
"50",2106
"51",1557
"52",1871
"53",1120
"54",1537
"55",1808
"56",1962
"57",1676
"58",49394
"59",14694
"60",3499
"61",14797
"62",14309
"63",5570
"64",7464
"65",6421
"66",6712
"67",5513
"68",4516
"69",394
"70",795
"71",437
"72",616
"73",935
"74",298
"75",118
"76",1070
"77",487
"78",456
"79",413
"80",350
"81",683
"82",459
"83",710
"84",840
"85",506
"86",17
"87",17
"88",17
"89",17
"90",17
"91",17
"92",17
"93",17
"94",17
"95",17
"96",17
"97",17
"98",17
"99",17
"100",17
"101",17
"102",17
"103",17
"104",17
"105",17
"106",17
"107",17
"108",3645
"109",17
"110",900
"111",960
"112",720
"113",10419
"114",8369
"115",17414
"116",1200
"117",1200
"118",300
"119",3000
"120",960
"121",17
"122",17
"123",17
"124",17
"125",17
"126",17
"127",17
"128",17
"129",17
"130",17
"131",17
"132",41948
"133",10282
"134",8384
"135",9299
"136",5061
"137",13777
"138",17
"139",17
"140",17
"141",17
"142",17
"143",17
"144",17
"145",17
"146",17
"147",17
"148",17
"149",17
"150",17
"151",17
"152",300
"153",780
"154",720
"155",330
"156",480
"157",150
"158",780
"159",960
"160",480
"161",700
"162",840
"163",17
"164",17
"165",17
"166",17
"167",17
"168",17
"169",17
"170",17
"171",17
"172",17
"173",17
"174",100
"175",100
"176",13830
"177",100
"178",100
"179",7877
"180",4017
"181",3417
"182",4720
"183",768
"184",756
"185",468
"186",360
"187",11035
"188",900
"189",675
"190",500
"191",18396
"192",3343
"193",10073
"194",7741
"195",476
"196",10066
"197",810
"198",810
"199",9896
"200",9297
"201",533
"202",585
"203",180130
"204",7145
"205",637
"206",637
"207",1911
"208",2271
"209",1987
"210",744
"211",1563
"212",1762
"213",845
"214",1994
"215",1450
"216",1515
"217",1494
"218",1616
"219",1605
"220",1621
"221",885
"222",666
"223",2106
"224",1557
"225",1871
"226",1120
"227",1537
"228",1808
"229",1962
"230",1676
"231",49394
"232",14694
"233",3499
"234",14797
"235",14309
"236",5570
"237",7464
"238",6421
"239",6712
"240",5513
"241",4516
"242",394
"243",795
"244",437
"245",616
"246",935
"247",298
"248",118
"249",1070
"250",487
"251",456
"252",413
"253",350
"254",683
"255",459
"256",710
"257",840
"258",506
"259",17
"260",17
"261",17
"262",17
"263",17
"264",17
"265",17
"266",17
"267",17
"268",17
"269",17
"270",17
"271",17
"272",17
"273",17
"274",17
"275",17
"276",17
"277",17
"278",17
"279",17
"280",17
"281",3645
"282",17
"283",900
"284",960
"285",720
"286",10419
"287",8369
"288",17414
"289",1200
"290",1200
"291",300
"292",3000
"293",960
"294",17
"295",17
"296",17
"297",17
"298",17
"299",17
"300",17
"301",17
"302",17
"303",17
"304",17
"305",41948
"306",10282
"307",8384
"308",9299
"309",5061
"310",13777
"311",17
"312",17
"313",17
"314",17
"315",17
"316",17
"317",17
"318",17
"319",17
"320",17
"321",17
"322",17
"323",17
"324",17
"325",300
"326",780
"327",720
"328",330
"329",480
"330",150
"331",780
"332",960
"333",480
"334",700
"335",840
"336",17
"337",17
"338",17
"339",17
"340",17
"341",17
"342",17
"343",17
"344",17
"345",17
"346",17
"347",-58.9984917034768
"348",76.7839985244224
"349",13784.2287102666
"350",-14.2500880887856
"351",-215.821615708222
"352",-9389.11087452422
"353",3948.0171582501
"354",3393.78557007346
"355",4433.51733307585
"356",556.350999367585
"357",-1709.82365632057
"358",-997.585895084242
"359",290.49051797101
"360",10988.5692230351
"361",853.569223022976
"362",651.784521572503
"363",476.785352421583
"364",8572.05958544413
"365",3140.93383670883
"366",7519.55775267366
"367",6393.8022657543
"368",-645.429339694654
"369",10042.7853820757
"370",654.069594142362
"371",502.469534687859
"372",9849.70326059863
"373",-9647.89820840269
"374",-3079.35573994293
"375",561.78450293988
"376",170508.536001865
"377",7075.01052264464
"378",569.041289819498
"379",613.78593419717
"380",1887.78514473163
"381",1823.98077423049
"382",-13571.0114746353
"383",720.784977714618
"384",1389.22815406544
"385",1716.22958790855
"386",821.78477000881
"387",1347.11358736172
"388",1301.84611703166
"389",1468.56963838447
"390",1470.78482934837
"391",1592.78479967623
"392",1524.66163590624
"393",1597.78494808404
"394",861.785293095304
"395",-305.188462073728
"396",1038.99955907989
"397",-783.538433653812
"398",570.338248254352
"399",757.82624987529
"400",1433.45421005758
"401",1691.69266799977
"402",1938.78523376131
"403",1472.55651589746
"404",49245.8328183248
"405",14647.5682140887
"406",3373.90297191003
"407",14773.7827706774
"408",14239.0027101516
"409",5523.56809539031
"410",5877.61559849326
"411",6102.85024214987
"412",6321.60057242875
"413",4707.27745975678
"414",3778.20066949845
"415",279.751507294041
"416",771.78413582931
"417",-495.629617224662
"418",214.475290655407
"419",911.783779726978
"420",251.700117133545
"421",-19.6805011932925
"422",955.74974373026
"423",440.567064260847
"424",432.783482947499
"425",-5820.64598151704
"426",-5963.6025368461
"427",659.783314822627
"428",378.656747791997
"429",664.226357300629
"430",793.566272588999
"431",460.225617184161
"432",-1474.78837089584
"433",-2038.25915931036
"434",-172.102451441701
"435",-50.9642162775559
"436",-140.553050260556
"437",-28.7720673420653
"438",-6.21625000484909
"439",-151.743345189393
"440",-470.01948199605
"441",-201.23111965542
"442",-29.4327948710509
"443",-6.21693257150551
"444",-29.3011849820366
"445",-270.252203457461
"446",-6.21673326164484
"447",-6.21670673659693
"448",-226.330054539664
"449",-237.275136694734
"450",-695.855491553793
"451",-28.7743828165531
"452",-1279.60444732768
"453",-11446.3700874305
"454",3351.3839794863
"455",-5696.07608846085
"456",314.50047866689
"457",936.783749993437
"458",-4826.21054069803
"459",10309.2631064241
"460",8345.78298947416
"461",17333.6565012151
"462",1108.52483640333
"463",1176.78298946117
"464",47.274995425865
"465",2865.78062163785
"466",936.783167591946
"467",-28.7743491645033
"468",-198.986344700786
"469",-29.4341600136459
"470",-233.418863258262
"471",-244.514335230949
"472",-954.067193694071
"473",-270.697215126312
"474",-156.784475751321
"475",-234.558046189466
"476",-255.414818452507
"477",-368.538038980317
"478",40496.9693787206
"479",-9844.41045017809
"480",6720.59235499966
"481",8869.33549611544
"482",3659.87025437489
"483",13347.7577070293
"484",-164.583609331263
"485",-151.744833678901
"486",-316.707051139052
"487",-131.597839397963
"488",-51.9892345093594
"489",-51.9892345093594
"490",-188.502060126433
"491",-77.4844325489799
"492",-74.1814917592704
"493",-11676.7566484557
"494",-198.978890806721
"495",-11197.4037987771
"496",-29.3004298865547
"497",-131.597839410962
"498",162.311774373769
"499",710.004257644986
"500",673.567027029159
"501",215.746991119528
"502",399.656912086755
"503",-66.0570345875828
"504",511.257620555709
"505",913.700102745878
"506",-2929.19946515987
"507",676.783464306878
"508",793.566908258218
"509",-52.9953844557951
"510",-6.21620920609062
"511",-282.103458661847
"512",-719.217798755566
"513",-327.931200285318
"514",-289.357505347704
"515",-6.21609055810298
"516",-169.552290593758
"517",-97.4638306726267
"518",-29.432854232459
"519",-808.133547124267
"520",-591.297790015116
"521",-0.939136850337192
"522",13630.9943924633
"523",-396.739513429503
"524",-1273.13745960097
"525",-67193.0472805401
"526",3717.07460108741
"527",3316.06769597158
"528",3474.42318728628
"529",-152.213046227892
"530",-9964.9724187851
"531",-5904.11258732279
"532",57.7848607435202
"533",10833.1270566744
"534",698.127056621636
"535",574.063137271752
"536",399.066749659056
"537",-24316.7844111125
"538",2464.45146395142
"539",-1028.92281446233
"540",1883.61854675785
"541",-4399.77973780284
"542",9965.06687859011
"543",132.041713662446
"544",-527.088979618003
"545",9694.70982868969
"546",-73072.1226452291
"547",-15172.894521491
"548",484.063056260347
"549",138297.547834198
"550",6840.69792454193
"551",341.527347041294
"552",536.069279118131
"553",1810.06584665924
"554",327.438148828223
"555",-65656.5281505883
"556",643.065120498339
"557",807.470235067109
"558",1562.99820829804
"559",744.064217429608
"560",-818.549620166421
"561",805.852682746326
"562",1313.12886254117
"563",1393.06447542769
"564",1515.06434641841
"565",1255.70276480975
"566",1520.06499166973
"567",784.066491718714
"568",-3556.55853075534
"569",-2533.13235182657
"570",-8619.2540593644
"571",-3784.05109454629
"572",-454.668478803088
"573",1086.80091329385
"574",1302.31594782509
"575",1861.06623374484
"576",791.463112597664
"577",48749.7948622815
"578",14492.1226699507
"579",2955.09987786971
"580",14696.0555246845
"581",14004.6639571811
"582",5368.12215387092
"583",566.676515188068
"584",5037.74018326029
"585",5014.61118447284
"586",2009.85852068166
"587",1308.17682390629
"588",-102.732576982429
"589",694.061460127433
"590",-3617.91137923766
"591",-1129.75960584606
"592",834.059911856428
"593",96.6961614501973
"594",-480.610874753445
"595",573.259755348958
"596",285.117670699333
"597",355.058621510863
"598",-26689.8086152915
"599",-27100.4458123744
"600",582.057890533159
"601",109.681512139117
"602",510.984162176649
"603",638.114228647823
"604",306.98094427896
"605",-6469.03639519929
"606",-8918.90938830593
"607",-805.184571485656
"608",-278.496592511113
"609",-668.013262002418
"610",-182.008988443762
"611",-83.9402174123873
"612",-716.66671821475
"613",-2100.47600867848
"614",-931.830955023567
"615",-184.881716830656
"616",-83.9431850935022
"617",-184.309499921898
"618",-1231.92262372809
"619",-83.9423185288906
"620",-83.9422032025953
"621",-1040.9567588681
"622",-1088.5440725858
"623",-3082.3717024078
"624",-182.019055724144
"625",-5620.41064055512
"626",-49823.7395105672
"627",2368.40860646218
"628",-24822.4612541776
"629",-1645.65009275265
"630",859.059782580162
"631",-23393.9588726001
"632",9941.88307140892
"633",8268.05647597462
"634",17064.6804400658
"635",802.281897405783
"636",1099.05647591812
"637",-798.80436771363
"638",2416.43748538196
"639",859.057250399763
"640",-182.018909410884
"641",-922.071063916461
"642",-184.887652233243
"643",-1071.77766634027
"644",-1120.01884883021
"645",-4205.03127693074
"646",-1233.85745707092
"647",-738.584677179654
"648",-1076.73063560637
"649",-1167.41225414133
"650",-1659.25234339268
"651",35639.1712118288
"652",-77224.1323920786
"653",1151.79284782459
"654",7430.89346137146
"655",-1030.8684592396
"656",11910.7291609968
"657",-772.493953614185
"658",-716.673189908266
"659",-1433.9002223437
"660",-629.077562599841
"661",-282.953193518954
"662",-282.953193518954
"663",-876.487217941011
"664",-393.801880647739
"665",-379.441268518567
"666",-50825.4202106769
"667",-922.038655681394
"668",-48741.2773859873
"669",-184.306216898064
"670",-629.077562656358
"671",-298.644459244485
"672",475.670685412983
"673",518.117508822431
"674",-166.752212523793
"675",130.682226464152
"676",-789.37841125036
"677",-388.445128018657
"678",758.696098895123
"679",-14342.6063702603
"680",599.058540464689
"681",638.116992427036
"682",-287.327758503457
"683",-83.940040026481
"684",-1283.4498202689
"685",-3183.94695111116
"686",-1482.70087080573
"687",-1314.98915368567
"688",-83.9395241656651
"689",-794.096915625036
"690",-480.66882901142
"691",-184.881974923735
"692",-3570.53716140985
"693",-1033.72837562479
"694",-65.540184434553
"695",13503.6308036398
"696",-714.652802024384
"697",-2151.94543374558
"698",-115237.877540086
"699",3525.12234578335
"700",3251.47102139339
"701",2677.2540271495
"702",-741.149395813743
"703",-16826.3947668076
"704",-9982.26464320938
"705",-135.632828380627
"706",10703.928372946
"707",568.928372859483
"708",509.463545125673
"709",334.469469440853
"710",-51652.9664342245
"711",1902.18040088033
"712",-8134.15341571823
"713",-1865.10558331713
"714",-7520.27876999666
"715",9900.46968088778
"716",-301.851589593589
"717",-1382.82592657352
"718",9565.8841190511
"719",-125788.361138176
"720",-25224.6670152452
"721",419.46341226697
"722",111524.778448084
"723",6645.94459624877
"724",152.424849147722
"725",471.473617753734
"726",1745.46798852116
"727",-916.441435921714
"728",-108948.386166965
"729",578.466797617277
"730",323.931185510059
"731",1435.63706160878
"732",679.465316584557
"733",-2618.58137707293
"734",393.598399703975
"735",1183.93133456752
"736",1328.46573970142
"737",1450.46552812619
"738",1032.15253428799
"739",1455.46658633836
"740",719.469046418692
"741",-6258.99599043876
"742",-5502.17705699557
"743",-15132.0566573576
"744",-7403.28379505592
"745",-1462.45630523706
"746",798.673497801907
"747",978.678154433146
"748",1796.46862334155
"749",225.359504660169
"750",48337.5035741417
"751",14362.9211787192
"752",2607.00379970633
"753",14631.4510604826
"754",13809.888889777
"755",5238.9203323483
"756",-3847.61051509157
"757",4152.45390054688
"758",3928.28234253546
"759",-232.152026082079
"760",-744.830008793685
"761",-420.641426251183
"762",629.46079460899
"763",-6213.05466194976
"764",-2247.04575358753
"765",769.458255444542
"766",-32.1382952216764
"767",-863.721834595651
"768",255.345998772291
"769",155.912979946906
"770",290.456139277816
"771",-44035.606129078
"772",-44668.7311322939
"773",517.454940474381
"774",-113.882320091849
"775",383.614025969704
"776",508.90733498243
"777",179.608748617495
"778",-10620.0996881268
"779",-14637.8913968217
"780",-1331.38269723648
"781",-467.614411718225
"782",-1106.42174968397
"783",-309.37474104777
"784",-148.541956556315
"785",-1186.21341787219
"786",-3455.6606542327
"787",-1539.08276623865
"788",-314.086015602276
"789",-148.546823553344
"790",-313.147579871913
"791",-2031.23310291407
"792",-148.545402387381
"793",-148.545213252256
"794",-1718.04908454369
"795",-1796.09227904071
"796",-5065.96959194879
"797",-309.391251387596
"798",-9228.3534505104
"799",-81721.8127973303
"800",1551.39011459798
"801",-40719.7164568513
"802",-3274.86615211435
"803",794.458043431466
"804",-38826.8925510642
"805",9636.52823711062
