"","-(stores_empty$stores_remain[i + ((j - 1) * nrow(bmp))] - incoming_runoff_test + outflow)"
"1",-94.9453151978121
"2",-99.9691481840118
"3",-13827.5944700347
"4",-97.255417206213
"5",-84.099700101071
"6",-6750.9492907919
"7",-4012.50111901631
"8",-3415.48601543957
"9",-4701.31634780929
"10",-754.196804306582
"11",-595.185413718224
"12",-372.418311190158
"13",-355.466772911153
"14",-11031.9719058501
"15",-896.971905849325
"16",-673.485947059076
"17",-498.486001244886
"18",-17755.3082338333
"19",-3329.82177195927
"20",-9906.47115778307
"21",-7653.13927820137
"22",-402.863303932957
"23",-10064.4860031789
"24",-799.830625704937
"25",-789.94366530573
"26",-9892.98064743035
"27",-8061.46316032156
"28",-297.411582177635
"29",-583.485945843905
"30",-179502.513217513
"31",-7140.43546886813
"32",-632.567910205619
"33",-635.486039186772
"34",-1909.48598769989
"35",-2241.84657223242
"36",-972.347077741176
"37",-742.485976807475
"38",-1551.66705352601
"39",-1759.01497312447
"40",-843.485963261444
"41",-1951.8117556975
"42",-1440.33779024119
"43",-1511.97193293812
"44",-1492.48596713142
"45",-1614.48596519628
"46",-1599.76054147215
"47",-1619.48597487505
"48",-883.485997375781
"49",-602.66162203867
"50",-2036.4130147226
"51",-1404.35618910953
"52",-1786.17423358181
"53",-1096.37997281795
"54",-1530.24701369941
"55",-1800.41473921738
"56",-1960.48599350617
"57",-1662.73194668896
"58",-49384.3369229342
"59",-14690.9718400493
"60",-3490.84149816805
"61",-14795.4858328703
"62",-14304.4349593577
"63",-5566.97183230806
"64",-7360.54014772782
"65",-6400.2511027489
"66",-6686.53916776709
"67",-5460.45287781022
"68",-4467.88265235859
"69",-386.549011345264
"70",-793.485921901912
"71",-376.176329311435
"72",-589.813605912309
"73",-933.485898677846
"74",-294.980442421753
"75",-109.020836878698
"76",-1062.54889633023
"77",-483.97176506049
"78",-454.485879322663
"79",-6.45787077062761
"80",61.7566871856153
"81",-681.485868357997
"82",-453.760222682087
"83",-707.01476243265
"84",-836.971713429717
"85",-503.014714164184
"86",80.2905459279893
"87",117.038640824589
"88",-4.66723142771516
"89",-12.5675511123333
"90",-6.72480106996372
"91",-14.0148651733436
"92",-15.4858967388142
"93",-5.99499922677875
"94",14.7621401301771
"95",-2.7675356746465
"96",-13.9717742475402
"97",-15.4858522235975
"98",-13.9803575011715
"99",1.73383935592137
"100",-15.4858652220666
"101",-15.4858669519611
"102",-1.13064861697843
"103",-0.416838911212981
"104",29.490575536117
"105",-14.0147141641378
"106",67.5611596083269
"107",730.611092658509
"108",-3625.85112909693
"109",355.591918812664
"110",-861.81524860871
"111",-958.485896738702
"112",-358.290616910998
"113",-10411.8432460711
"114",-8367.48584713962
"115",-17408.760206601
"116",-1194.03422846109
"117",-1198.48584713877
"118",-283.517934484296
"119",-2991.24656228073
"120",-958.485858755996
"121",-14.0147163588367
"122",-2.91393404125309
"123",-13.9716852165014
"124",-0.668335004895926
"125",0.0552827324531968
"126",46.3304691539612
"127",1.76286185606383
"128",-5.66622984230518
"129",-0.594040465904399
"130",0.766183812119998
"131",8.14378515089022
"132",-41853.3675681774
"133",-8969.40801411882
"134",-8275.51689271737
"135",-9270.97840192057
"136",-4969.62197311141
"137",-13749.005937415
"138",-5.15759069578722
"139",-5.99490215137601
"140",4.76350333515555
"141",-7.30883656100239
"142",-12.5007020972157
"143",-12.5007020972157
"144",-3.59769173088483
"145",-10.8379717902839
"146",-11.0533809722215
"147",745.636303160153
"148",-2.91442016477909
"149",714.37416078981
"150",-13.980406746529
"151",-7.30883656015463
"152",-291.020333111333
"153",-775.435060281195
"154",-716.971762632336
"155",-322.548716812143
"156",-474.760233396962
"157",-135.909323831245
